FROM/TO,SMALL,NONE,Other,LARGE
SMALL,3513.7692307692,549.7400611621,2159,10746
NONE,3790.2293577982,0,3360.6380952381,3771.6899224806
Other,1043,570.3867924528,923.5,4711
LARGE,7397.6666666667,520.4591439689,8162,1368.4285714286
