ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
51151,13.563055555555556,36.198055555555555,4131.0,2016-01-30 11:08:21.103000,2016-01-31 23:20:14.027000,MACARONI COUPS PPX 10X1KG,SMALL,2016-01-22 23:20:14.027000,2016-02-07 23:20:14.027000,244.0,1.1098014201656778,0.8603910283280962,4
-15,2.2725333333333335,2.2725333333333335,2.2725333333333335,2016-01-31 23:20:14.027000,2016-02-01 01:36:35.147000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77303,4.767629444444444,6.842907222222222,1178.0,2016-02-01 01:36:35.147000,2016-02-01 08:27:10.063000,MACARONI COUPS PPX 10X1KG,SMALL,2016-01-24 08:27:10.063000,2016-02-09 08:27:10.063000,244.0,1.3502806441222999,0.655352581785452,7
77772,0.5800130555555556,0.7308463888888889,88.0,2016-02-01 08:27:10.063000,2016-02-01 09:11:01.627000,MACARONI COUPS PPX 10X1KG,SMALL,2016-01-22 09:11:01.627000,2016-02-09 09:11:01.627000,244.0,0.8241954449870363,1.4490204657323513,9
51257,0.6922222222222222,4.152777777777778,175.0,2016-02-01 09:11:01.627000,2016-02-01 13:20:11.710000,MACARONI COUPS PPX 10X1KG,SMALL,2016-01-24 13:20:11.710000,2016-02-11 13:20:11.710000,244.0,0.985042628425401,1.196367327372525,6
-18,2.169779722222222,2.169779722222222,2.169779722222222,2016-02-01 13:20:11.710000,2016-02-01 15:30:22.917000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77305,0.8583333333333333,2.118611111111111,216.0,2016-02-01 15:30:22.917000,2016-02-01 17:37:29.280000,MACARONI COUPS PPX 10X1KG,SMALL,2016-01-25 17:37:29.280000,2016-02-10 17:37:29.280000,244.0,1.2185330946493242,1.2266697038299061,2
51148,0.0,2.5944444444444446,0.0,2016-02-01 17:37:29.280000,2016-02-01 20:13:09.147000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-01-24 20:13:09.147000,2016-02-09 20:13:09.147000,271.0,0.9181976905382473,1.1456013705565329,1
-20,12.851609166666666,12.851609166666666,12.851609166666666,2016-02-01 20:13:09.147000,2016-02-02 09:04:14.940000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77306,15.693276944444444,23.349388055555558,4085.0,2016-02-02 09:04:14.940000,2016-02-03 08:25:12.030000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-01-25 08:25:12.030000,2016-02-11 08:25:12.030000,271.0,0.547842821864909,1.0986582816101165,5
