,LARGE,NONE,Other,SMALL
LARGE,1371.2020338927007,626.3960241975142,2880.5,1127.1694144576888
NONE,3206.020284681279,,3987.500684666397,3474.701000422411
Other,1737.5,730.9928513791,379.4841527945827,1667.5716438882018
SMALL,2363.64776352146,650.9552509269226,3357.917102208766,2430.1863751946717
