,ELLEBOOGJE,HORENTJE,MACARONI,NONE,Other,PENNE,SPIRELLI,VERMICELLI
ELLEBOOGJE,0.0,379.63516097154593,3458.4165520842025,72.53658080965462,523.7048376936073,627.0120831866003,426.27953031872175,1372.1884040238626
HORENTJE,959.6185751446976,16286.452213839097,11520.131588052598,426.5437301248648,13475.272525998425,2084.9165893001978,11506.709294846645,3415.258433740362
MACARONI,952.471074586183,812.8526470351183,24402.59838280075,359.6934007426382,19177.08143217558,997.6536668252045,1445.8301990350014,65898.6328300078
NONE,463.42358233765646,4761.927951383417,5618.857263555075,0.0,710.2832297302155,182.95027321416003,493.0809320543186,1230.4498431910974
Other,251.02558641877306,16485.201786289646,22914.40669973415,12827.788142032105,158270.19607612703,595.3626003267274,32025.172502320198,29313.950880396333
PENNE,720.7539654542317,694.9979341272641,371.07735902892057,4780.019584879742,106269.23850866772,677.8262141828591,2685.402593687455,30.995000000000005
SPIRELLI,769.1839702014076,736.7136020392345,7518.217669666508,608.2596053495579,11687.048253217823,851.2510736640766,396.0778925148239,16672.31872104198
VERMICELLI,0.0,689.2154738392777,11322.1609915494,296.74136793909736,19095.28639677841,327.8342684755346,0.0,927.8317100292518
