ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
62216,6.57,7.693997679,35000,59:50.5,41:28.9,PENNE LARGE,PENNE,25:02.0,25:02.0,6000,0.0669178,0.100930557,1
62215,6.649722222,7.775791865,35000,41:28.9,28:01.8,PENNEN EXTRA SCHERPE HOEK,PENNE,10:28.9,10:28.9,6000,0.063831629,0.102188061,1
62218,6.810555556,8.009575698,35000,28:01.8,28:36.3,VOLKOREN PENNEN STANDAARD,PENNE,05:41.2,05:41.2,6000,0.096883318,0.147361396,9
-1,0,3.813833361,3.813833361,09:14.8,58:04.6,MAINTENANCE,NONE,1677-09-21 00:12:43.145225000,47:16.9,1,0,0,0
62465,6.355555556,8.201790423,35000,02:46.7,14:53.2,PENNE SCHERPE HOEK 40MM,PENNE,45:32.4,45:32.4,6000,0.06696673,0.149153189,1
62529,5.714166667,6.753971364,30000,04:07.0,49:21.3,PENNEN EXTRA SCHERPE HOEK,PENNE,02:08.1,02:08.1,6000,0.054908698,0.120979298,7
62623,5.423611111,6.450952272,30000,49:21.3,16:24.7,PENNE LARGE,PENNE,40:56.9,40:56.9,6000,0.067219122,0.145307228,9
62788,7.030277778,8.234305027,35000,11:57.8,26:01.2,PENNE SCHERPE HOEK 40MM,PENNE,06:13.4,06:13.4,6000,0.062641174,0.10753544,5
63151,6.510833333,7.318824205,35000,41:23.4,00:31.1,PENNE SCHERPE HOEK 40MM,PENNE,45:20.0,45:20.0,6000,0.087143348,0.09153975,6
62231,14.78416667,17.01803063,35000,05:03.7,06:08.6,SPIRALS LM 844/1211,SPIRELLI,41:32.9,41:32.9,3000,0.07779968,0.133492568,7
62789,5.884722222,6.795863657,35000,26:01.2,13:46.4,BIO 2-WEG SPIRALEN HALF VOLKOR,SPIRELLI,00:15.3,00:15.3,6000,0.058200448,0.140294475,4
62805,6.3475,7.371226284,35000,13:46.4,36:02.8,"SPIRALEN DURUM AS 1,1%",SPIRELLI,38:13.5,38:13.5,6000,0.068411976,0.090941914,5
62023,9.587222222,10.5282815,40000,04:42.5,36:24.4,VERMICELLI LM 514/1003,VERMICELLI,46:33.2,46:33.2,3000,0.089827109,0.147121376,6
62729,20.23694444,22.29034316,65000,41:43.0,59:08.2,VERMICELLI LM 514/1003,VERMICELLI,14:36.0,14:36.0,3000,0.098273332,0.080022565,6
62983,9.492222222,10.73304635,30000,59:08.2,43:07.2,VERMICELLI LM H/Z 70/30,VERMICELLI,16:31.0,16:31.0,3000,0.083998677,0.121512759,5
