,ELLEBOOGJE,HORENTJE,MACARONI,NONE,Other,PENNE,SPIRELLI,VERMICELLI
ELLEBOOGJE,171.013,1043.4850000000001,1176.0030000000002,37.0,974.75,1310.0,993.725,1466.117
HORENTJE,1266.997,1145.183,1177.0,0.0,1336.0639999999999,1279.007,1145.013,6024.067
MACARONI,1251.05,1169.0030000000002,1256.844,0.0,1683.5265,1359.505,1323.99,2324.193
NONE,127.5,128.5,128.0,0.0,127.0,126.0,127.0,129.0
Other,1336.9965,1337.07,1347.967,0.0,1899.01,783.97,4240.003000000001,1927.695
PENNE,1416.0484999999999,1290.5765000000001,1200.0,22.0,1082.0149999999999,1075.533,1234.0014999999999,1123.995
SPIRELLI,1720.0,1224.0,1207.193,0.0,2308.0,1104.5035,995.5785000000001,1032.0
VERMICELLI,3343.0,684.7544999999999,1776.1365,0.0,1792.768,1241.057,333.0,1404.9285
