1563,2016-11-03 06:59:29.937000,2016-11-03 07:04:49.020000
1564,2016-11-03 07:05:35.980000,2016-11-03 07:08:12.890000
1565,2016-11-03 09:30:55.130000,2016-11-03 09:33:00.260000
1566,2016-11-03 13:45:02.623000,2016-11-03 13:47:10.643000
1567,2016-11-03 13:55:29.650000,2016-11-03 14:05:35.653000
1568,2016-11-03 14:05:35.653000,2016-11-03 14:11:21.687000
1569,2016-11-03 14:12:16.710000,2016-11-03 14:23:19.790000
1570,2016-11-03 19:36:26.683000,2016-11-03 19:50:45.857000
1571,2016-11-03 22:45:28.340000,2016-11-03 22:47:14.150000
1572,2016-11-03 22:47:19.140000,2016-11-03 23:06:46.293000
1573,2016-11-04 04:31:15.940000,2016-11-04 04:32:24.930000
1574,2016-11-04 04:32:24.930000,2016-11-04 06:36:11.310000
1575,2016-11-04 06:47:58.290000,2016-11-04 06:53:52.367000
1576,2016-11-04 17:21:53.753000,2016-11-04 17:29:49.693000
1577,2016-11-04 17:29:54.697000,2016-11-04 17:31:51.720000
1578,2016-11-04 17:38:33.693000,2016-11-04 17:43:06.683000
1579,2016-11-05 05:26:39.807000,2016-11-05 05:27:37.713000
1580,2016-11-05 05:43:35.140000,2016-11-05 06:02:35.727000
1581,2016-11-05 06:13:27.750000,2016-11-05 06:25:06.843000
1582,2016-11-05 16:22:33.770000,2016-11-05 16:26:26.677000
1583,2016-11-05 21:20:31.710000,2016-11-05 21:23:09.637000
1584,2016-11-05 21:23:09.637000,2016-11-05 21:56:57.577000
1585,2016-11-05 22:44:23.483000,2016-11-05 22:52:35.353000
1586,2016-11-05 22:54:45.337000,2016-11-05 23:05:33.403000
1587,2016-11-05 23:07:29.293000,2016-11-05 23:12:19.310000
1588,2016-11-06 04:16:34.063000,2016-11-06 04:23:13.113000
1589,2016-11-06 07:55:37.663000,2016-11-06 08:02:28.197000
1590,2016-11-06 08:02:28.197000,2016-11-07 08:27:25.140000
1591,2016-11-07 08:34:28.263000,2016-11-07 08:46:33.167000
1592,2016-11-07 08:46:41.173000,2016-11-07 08:59:16.323000
1593,2016-11-07 09:02:32.207000,2016-11-07 09:08:10.260000
1594,2016-11-07 09:09:52.183000,2016-11-07 09:14:16.170000
1595,2016-11-07 12:52:07.307000,2016-11-07 13:08:22.343000
1596,2016-11-07 13:18:52.467000,2016-11-07 13:25:55.400000
1597,2016-11-07 14:45:40.380000,2016-11-07 14:49:48.377000
1598,2016-11-07 14:49:48.377000,2016-11-08 08:09:02.090000
1599,2016-11-08 08:20:09.117000,2016-11-08 08:22:51.120000
1600,2016-11-08 08:25:24.140000,2016-11-08 08:28:11.170000
1601,2016-11-08 10:07:52.127000,2016-11-08 10:21:30.153000
1602,2016-11-08 14:38:51.210000,2016-11-08 14:47:43.160000
1603,2016-11-08 14:48:34.287000,2016-11-08 14:57:33.090000
1604,2016-11-08 14:57:38.100000,2016-11-08 15:05:28.097000
1605,2016-11-08 21:38:54.887000,2016-11-08 22:19:00.100000
1606,2016-11-08 22:19:46.033000,2016-11-08 22:25:01.983000
1607,2016-11-08 22:25:06.970000,2016-11-08 22:27:29.113000
1608,2016-11-08 22:29:31.010000,2016-11-08 22:33:31.030000
1609,2016-11-09 05:12:29.920000,2016-11-09 05:16:17.937000
1610,2016-11-09 05:17:14.953000,2016-11-09 05:32:33.960000
1611,2016-11-09 12:10:12.467000,2016-11-09 13:05:24.383000
1612,2016-11-09 13:05:24.383000,2016-11-09 13:11:15.157000
1613,2016-11-09 13:19:27.153000,2016-11-09 14:05:41.200000
1614,2016-11-09 14:05:46.213000,2016-11-09 15:07:32.383000
1615,2016-11-09 15:08:49.427000,2016-11-10 00:04:32.160000
1616,2016-11-10 00:11:18.140000,2016-11-10 00:17:16.060000
1617,2016-11-10 00:19:31.043000,2016-11-10 00:37:00.307000
1618,2016-11-10 00:37:00.307000,2016-11-10 00:37:11.120000
1619,2016-11-10 06:48:03.790000,2016-11-10 06:51:28.780000
1620,2016-11-10 06:59:47.577000,2016-11-10 07:05:50.427000
1621,2016-11-10 07:05:50.427000,2016-11-10 07:07:39.567000
1622,2016-11-10 07:08:29.790000,2016-11-10 07:18:03.803000
1623,2016-11-10 12:59:56.673000,2016-11-10 13:08:24.700000
1624,2016-11-10 13:14:53.720000,2016-11-10 13:23:13.720000
1625,2016-11-10 13:23:16.713000,2016-11-10 13:25:15.740000
1626,2016-11-10 19:05:46.600000,2016-11-11 03:52:22.980000
1627,2016-11-11 03:52:27.990000,2016-11-12 07:29:19.970000
1628,2016-11-12 07:33:51.967000,2016-11-12 07:39:25.937000
1629,2016-11-12 07:53:35.890000,2016-11-12 08:06:46.877000
1630,2016-11-12 08:49:51.713000,2016-11-12 09:28:21.673000
1631,2016-11-12 10:06:03.433000,2016-11-12 15:22:45.033000
1632,2016-11-13 04:28:57.943000,2016-11-13 04:36:45.970000
1633,2016-11-13 04:38:07.977000,2016-11-13 04:41:32.950000
1634,2016-11-13 04:41:38.953000,2016-11-13 04:48:40
1635,2016-11-14 02:02:12.653000,2016-11-14 11:25:41.500000
1636,2016-11-14 11:25:47.503000,2016-11-14 11:31:34.597000
1637,2016-11-14 11:38:23.550000,2016-11-14 11:41:22.490000
1638,2016-11-14 11:44:20.470000,2016-11-14 11:51:42.607000
1639,2016-11-14 11:54:55.433000,2016-11-14 12:08:37.420000
1640,2016-11-14 12:10:04.417000,2016-11-14 12:14:23.367000
1641,2016-11-14 12:33:50.293000,2016-11-14 12:39:57.377000
1642,2016-11-14 18:03:39.170000,2016-11-14 18:09:03.267000
1643,2016-11-14 18:09:49.223000,2016-11-14 18:12:35.100000
1644,2016-11-14 18:12:40.107000,2016-11-14 18:14:35.193000
1645,2016-11-15 00:33:26.487000,2016-11-15 00:36:46.453000
1646,2016-11-15 00:39:15.457000,2016-11-15 00:45:32.450000
1647,2016-11-15 00:45:35.450000,2016-11-15 00:50:45.493000
1648,2016-11-15 00:54:40.503000,2016-11-15 00:57:39.507000
1649,2016-11-15 06:47:56.293000,2016-11-15 07:09:58.353000
1650,2016-11-15 13:02:40.280000,2016-11-15 13:06:35.530000
1651,2016-11-15 13:06:41.240000,2016-11-15 13:08:29.270000
1652,2016-11-15 13:09:20.280000,2016-11-15 13:16:36.300000
