,StartDateUTC,EndDateUTC,TotalTime,ArticleName
510,2016-11-03 09:30:51.227,2016-11-03 14:05:39.227,4.58,FF011501
511,2016-11-03 14:05:39.227,2016-11-03 22:47:03.227,8.69,FF082005
512,2016-11-03 22:47:03.227,2016-11-04 04:32:03.227,5.75,FF025201
513,2016-11-04 04:32:03.227,2016-11-04 17:29:39.227,12.96,FF027216
514,2016-11-04 17:29:39.227,2016-11-05 05:27:15.227,11.96,FF049361
515,2016-11-05 05:27:15.227,2016-11-05 21:06:51.227,15.66,FF049390
516,2016-11-05 21:06:51.227,2016-11-07 08:30:15.227,35.39,FF174906
517,2016-11-07 08:30:15.227,2016-11-07 14:33:15.227,6.05,FF044101
