ID,Duration,Start,End,Quantity,Product
61,5.57,2016-02-16 02:41:01.507,2016-02-16 08:15:01.617,30000.0,FF082005
62,34.92,2016-02-16 08:24:27.450,2016-02-17 19:19:21.463,60000.0,FF035105
63,6.12,2016-02-17 19:42:25.343,2016-02-18 01:49:21.780,30000.0,FF029101
64,7.7,2016-02-18 01:49:25.337,2016-02-18 09:31:27.643,30000.0,FF144220
65,12.24,2016-02-18 09:31:34.653,2016-02-18 21:45:45.507,65000.0,FF044001
66,6.75,2016-02-18 21:45:49.377,2016-02-19 04:30:59.727,30000.0,FF036102
67,5.39,2016-02-19 05:03:30.863,2016-02-19 10:26:49.823,30000.0,FF025205
68,5.31,2016-02-19 10:29:33.580,2016-02-19 15:48:15.553,30000.0,FF012201
69,7.36,2016-02-21 22:30:36.397,2016-02-22 05:52:20.817,30000.0,FF145300
70,6.02,2016-02-22 06:16:02.140,2016-02-22 12:17:18.643,30000.0,FF036110
71,10.34,2016-02-22 12:39:14.970,2016-02-22 22:59:32.153,60000.0,FF025205
72,6.1,2016-02-22 22:59:38.573,2016-02-23 05:05:26.340,30000.0,FF011501
73,6.77,2016-02-23 05:37:26.830,2016-02-23 12:23:30.273,30000.0,FF027401
74,5.26,2016-02-24 17:57:36.420,2016-02-24 23:13:06.170,30000.0,FF025305
75,6.88,2016-02-24 23:13:10.407,2016-02-25 06:05:56.687,35000.0,FF029001
76,5.49,2016-02-25 06:24:47.290,2016-02-25 11:54:15.073,30000.0,FF029201
77,5.31,2016-02-25 11:55:51.323,2016-02-25 17:14:37.770,30000.0,FF145300
78,12.78,2016-02-25 17:36:32.510,2016-02-26 06:23:12.510,70000.0,FF044301
79,8.56,2016-02-26 06:55:46.543,2016-02-26 15:29:11.770,45000.0,FF025450
80,17.38,2016-02-26 18:09:44.967,2016-02-27 11:32:29.690,50000.0,FF174906
81,9.78,2016-02-27 11:50:47.993,2016-02-27 21:37:53.073,30000.0,FF027206
82,15.46,2016-02-27 22:03:14.103,2016-02-28 13:30:37.207,50000.0,FF049386
83,6.13,2016-02-29 11:27:51.930,2016-02-29 17:35:22.590,30000.0,FF035902
84,8.89,2016-02-29 17:47:40.510,2016-03-01 02:41:20.387,45000.0,FF036103
85,5.15,2016-03-01 02:41:25.427,2016-03-01 07:50:39.647,30000.0,FF025305
86,10.32,2016-03-01 08:07:26.617,2016-03-01 18:26:32.357,60000.0,FF035105
87,7.3,2016-03-01 18:37:00.660,2016-03-02 01:54:43.363,40000.0,FF029101
88,7.1,2016-03-02 02:20:39.547,2016-03-02 09:26:45.250,30000.0,FF044101
89,5.68,2016-03-02 09:36:33.243,2016-03-02 15:17:05.917,30000.0,FF044001
90,5.94,2016-03-02 15:30:04.343,2016-03-02 21:26:46.247,30000.0,FF036102
91,5.45,2016-03-02 21:26:51.723,2016-03-03 02:54:08.570,30000.0,FF011501
92,6.03,2016-03-03 02:54:12.543,2016-03-03 08:55:58.037,30000.0,FF025450
93,6.06,2016-03-03 09:14:35.377,2016-03-03 15:18:05.387,35000.0,FF082005
94,8.01,2016-03-03 15:38:47.410,2016-03-03 23:39:22.723,30000.0,FF014202
95,5.88,2016-03-03 23:39:26.350,2016-03-04 05:32:28.770,30000.0,FF029101
96,5.62,2016-03-04 05:42:07.803,2016-03-04 11:19:15.660,30000.0,FF029001
97,31.59,2016-03-04 14:33:15.687,2016-03-05 22:08:32.753,100000.0,FF049386
98,5.6,2016-03-07 07:15:15.010,2016-03-07 12:51:15.607,30000.0,FF044301
99,6.85,2016-03-07 13:01:35.273,2016-03-07 19:52:25.040,30000.0,FF044101
