Product,UnitPrice,Power
NOUILLES PPX 10x1KG,5,5.104371798559227
NONE,5,0.0
TOSCA MACARONI KORT 10x1KG IN,5,8.476069710105964
MACARONI COUPÉS PPX 10X1KG,5,2.5244244316517443
TOSCA HORENTJES 12x1KG IN DISP,5,4.578296471768349
COQUILLETTES PPX 12x1KG,5,6.6366215450769
HORENTJES AMBRA SUPERIORE 20x5,5,7.0884366333345366
CARREFOUR DISCOUNT COQUILLETTE,5,6.029527133877435
