,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate
62623,5.0,5.0,30000.0,2016-11-18 00:01:19.145000,2016-11-18 05:01:19.145000,PENNE LARGE,PENNE,2016-11-09 03:41:02.883000,2016-11-26 03:41:02.883000
62630,18.333333333333332,18.333333333333332,55000.0,2016-11-18 05:01:19.145000,2016-11-18 23:35:14.102000,MACARONI QC LM 70/30 HARD/ZACH,MACARONI,2016-11-09 14:32:34.533000,2016-11-27 14:32:34.533000
62753,40.0,40.0,120000.0,2016-11-18 23:35:14.102000,2016-11-21 12:56:40.092000,ZITTI QC LM 70/30 H/Z,MACARONI,2016-11-13 01:53:49.223000,2016-11-28 01:53:49.223000
-491,20.0,20.0,20.0,2016-11-21 12:56:40.092000,2016-11-22 09:50:11.965000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775
62769,5.833333333333333,5.833333333333333,35000.0,2016-11-22 09:50:11.965000,2016-11-22 16:00:44.718000,QUICK MACARONI KORT 20MM,MACARONI,2016-11-12 06:35:40.437000,2016-11-30 06:35:40.437000
62628,5.833333333333333,5.833333333333333,35000.0,2016-11-22 16:00:44.718000,2016-11-22 21:50:44.718000,HORENTJE H/Z 10/90,HORENTJE,2016-11-12 12:29:17.483000,2016-12-01 12:29:17.483000
62763,5.833333333333333,5.833333333333333,35000.0,2016-11-22 21:50:44.718000,2016-11-23 04:00:00.855000,"GESNEDEN MACARONI AS 0,9%",MACARONI,2016-11-13 19:34:35.347000,2016-11-29 19:34:35.347000
62788,5.833333333333333,5.833333333333333,35000.0,2016-11-23 04:00:00.855000,2016-11-23 10:02:03.828000,PENNE SCHERPE HOEK 40MM,PENNE,2016-11-12 03:06:19.410000,2016-12-02 03:06:19.410000
62789,5.833333333333333,5.833333333333333,35000.0,2016-11-23 10:02:03.828000,2016-11-23 16:07:27.664000,BIO 2-WEG SPIRALEN HALF VOLKOR,SPIRELLI,2016-11-14 09:00:20.717000,2016-11-29 09:00:20.717000
62805,5.833333333333333,5.833333333333333,35000.0,2016-11-23 16:07:27.664000,2016-11-23 22:14:58.634000,"SPIRALEN DURUM AS 1,1%",SPIRELLI,2016-11-13 15:38:18.553000,2016-12-02 15:38:18.553000
62854,5.833333333333333,5.833333333333333,35000.0,2016-11-23 22:14:58.634000,2016-11-24 04:51:57.851000,HORENTJES H/Z 60/40,HORENTJE,2016-11-15 22:19:09.237000,2016-11-29 22:19:09.237000
62850,5.833333333333333,5.833333333333333,35000.0,2016-11-24 04:51:57.851000,2016-11-25 06:57:08.005000,KLEIN HORENTJE H/Z 10/90,HORENTJE,2016-11-15 04:47:58.630000,2016-12-02 04:47:58.630000
62848,5.833333333333333,5.833333333333333,35000.0,2016-11-25 06:57:08.005000,2016-11-25 12:47:08.005000,MACARONI KORT PLATTE ZAK,MACARONI,2016-11-15 11:06:07.133000,2016-12-03 11:06:07.133000
62898,11.666666666666666,11.666666666666666,70000.0,2016-11-25 12:47:08.005000,2016-11-26 00:55:50.948000,COURVO DURUM/ZACHTE 70/30,Other,2016-11-15 19:12:09.483000,2016-12-03 19:12:09.483000
62904,5.833333333333333,5.833333333333333,35000.0,2016-11-26 00:55:50.948000,2016-11-26 06:45:50.948000,KLEIN HORENTJE H/Z 10/90,HORENTJE,2016-11-16 02:01:06.370000,2016-12-01 02:01:06.370000
62945,6.666666666666667,6.666666666666667,40000.0,2016-11-26 06:45:50.948000,2016-11-26 13:25:50.948000,"MACARONI KORT AS 1,1% DURUM",MACARONI,2016-11-17 04:05:17.173000,2016-12-05 04:05:17.173000
-499,1.0,1.0,1.0,2016-11-26 13:25:50.948000,2016-11-26 14:25:50.948000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775
62985,15.0,15.0,45000.0,2016-11-26 14:25:50.948000,2016-11-27 05:54:19.195000,BONETTI QC LM 70/30 HARD/ZACHT,Other,2016-11-18 23:37:12.950000,2016-12-04 23:37:12.950000
62729,21.666666666666668,21.666666666666668,65000.0,2016-11-27 05:54:19.195000,2016-11-29 06:12:59.911000,VERMICELLI LM 514/1003,VERMICELLI,2016-11-19 20:14:42.020000,2016-12-06 20:14:42.020000
62983,10.0,10.0,30000.0,2016-11-29 06:12:59.911000,2016-11-29 16:50:40.903000,VERMICELLI LM H/Z 70/30,VERMICELLI,2016-11-18 07:16:37.050000,2016-12-05 07:16:37.050000
62984,11.666666666666666,11.802790555555555,35000.0,2016-11-29 16:50:40.903000,2016-11-30 04:50:49.923000,ZITTI QC LM 70/30 H/Z,MACARONI,2016-11-19 14:56:43.280000,2016-12-07 14:56:43.280000
-503,3.0,3.0,3.0,2016-11-30 04:50:49.923000,2016-11-30 07:50:49.923000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775
63062,8.333333333333334,8.333333333333334,50000.0,2016-11-30 07:50:49.923000,2016-11-30 16:10:49.923000,HORENTJES EXTRA,HORENTJE,2016-11-19 03:34:33.647000,2016-12-07 03:34:33.647000
63056,5.833333333333333,5.833333333333333,35000.0,2016-11-30 16:10:49.923000,2016-11-30 22:00:49.923000,"GESNEDEN MACARONI AS 0,9%",MACARONI,2016-11-22 09:35:50.940000,2016-12-09 09:35:50.940000
63110,5.833333333333333,5.833333333333333,35000.0,2016-11-30 22:00:49.923000,2016-12-01 03:50:49.923000,HORENTJE H/Z 10/90,HORENTJE,2016-11-20 15:56:36.937000,2016-12-07 15:56:36.937000
63151,5.833333333333333,5.833333333333333,35000.0,2016-12-01 03:50:49.923000,2016-12-01 09:40:49.923000,PENNE SCHERPE HOEK 40MM,PENNE,2016-11-22 22:45:22.997000,2016-12-09 22:45:22.997000
