,ProductionRequestId,TargetProductionRate
0,50787.0,271.0
1,50788.0,203.0
2,50903.0,305.0
3,50904.0,244.0
4,50919.0,203.0
5,50920.0,244.0
6,50921.0,244.0
7,50972.0,271.0
8,51148.0,271.0
9,51149.0,244.0
10,51150.0,305.0
11,51151.0,244.0
12,51177.0,244.0
13,51178.0,244.0
14,51179.0,244.0
15,51180.0,244.0
16,51181.0,244.0
17,51182.0,244.0
18,51183.0,203.0
19,51184.0,244.0
20,51257.0,244.0
21,51286.0,305.0
22,51292.0,244.0
23,51346.0,305.0
24,51468.0,305.0
25,51469.0,271.0
26,51470.0,244.0
27,51471.0,244.0
28,51630.0,305.0
29,51631.0,271.0
30,51744.0,244.0
31,51745.0,244.0
32,51746.0,244.0
33,51747.0,244.0
34,51748.0,244.0
35,51750.0,271.0
36,51832.0,305.0
37,51916.0,244.0
38,51917.0,244.0
39,51934.0,203.0
40,51935.0,244.0
41,52072.0,244.0
42,52073.0,305.0
43,52074.0,271.0
44,52075.0,244.0
45,52076.0,305.0
46,52302.0,203.0
47,52303.0,203.0
48,52304.0,244.0
49,52305.0,244.0
50,52307.0,244.0
51,52308.0,244.0
52,52309.0,244.0
53,52439.0,203.0
54,52440.0,203.0
55,52479.0,244.0
56,52618.0,305.0
57,52619.0,244.0
58,52620.0,305.0
59,52621.0,271.0
60,52622.0,130.0
61,52623.0,16.0
62,52728.0,244.0
63,52871.0,244.0
64,52872.0,271.0
65,52873.0,305.0
66,52876.0,244.0
67,52916.0,244.0
68,52917.0,244.0
69,52918.0,244.0
70,52919.0,244.0
71,52920.0,244.0
72,52921.0,244.0
73,53040.0,244.0
74,53258.0,244.0
75,53259.0,203.0
76,53260.0,203.0
77,53261.0,271.0
78,53262.0,244.0
79,53263.0,244.0
80,53264.0,244.0
81,53265.0,305.0
82,53266.0,244.0
83,53267.0,244.0
84,53268.0,203.0
85,53269.0,305.0
86,53459.0,244.0
87,53471.0,305.0
88,53472.0,244.0
89,53473.0,244.0
90,53474.0,244.0
91,53772.0,305.0
92,53773.0,203.0
93,53775.0,244.0
94,53776.0,271.0
95,53777.0,203.0
96,53778.0,305.0
97,53779.0,244.0
98,53780.0,244.0
99,53920.0,244.0
100,54014.0,305.0
101,54015.0,271.0
102,54155.0,305.0
103,54156.0,305.0
