ID,Duration,Start,End,Quantity,Product,Power
64,1.2,2016-03-14 10:17:18.763,2016-03-14 11:29:23.553,300.0,041137EU,3.66
65,21.56,2016-03-14 11:29:29.793,2016-03-15 09:03:02.527,5700.0,044046EU,3.25
66,21.9,2016-03-15 09:03:07.487,2016-03-16 06:56:49.810,5000.0,044042EU,4.68
67,15.71,2016-03-16 06:56:55.140,2016-03-16 22:39:44.853,2700.0,023732CH,3.34
68,25.3,2016-03-16 23:33:03.463,2016-03-18 00:50:54.967,4500.0,043932EU,3.67
69,8.18,2016-03-18 01:08:37.247,2016-03-18 09:19:42.937,1400.0,044132EU,3.33
70,14.7,2016-03-18 09:19:48.040,2016-03-19 00:01:41.897,2700.0,036640EC,4.6
71,4.9,2016-03-19 00:26:12.137,2016-03-19 05:19:56.240,1400.0,043942EU,4.38
72,11.71,2016-03-19 05:31:03.893,2016-03-19 17:13:46.413,2700.0,042943EU,4.46
73,13.33,2016-03-19 17:14:35.687,2016-03-20 06:34:05.777,3000.0,042939EU,4.48
74,22.53,2016-03-20 06:48:40.323,2016-03-21 05:20:30.370,2300.0,036647EC,3.03
75,7.91,2016-03-21 05:20:34.183,2016-03-21 13:15:15.787,750.0,043947EU,4.98
76,5.02,2016-03-21 13:15:20.783,2016-03-21 18:16:47.647,600.0,043448CH,3.79
77,25.12,2016-03-21 18:16:51.893,2016-03-22 19:24:18.090,5000.0,044046EU,4.23
78,25.15,2016-03-22 19:24:27.683,2016-03-23 20:33:37.237,5000.0,044042EU,3.71
79,43.04,2016-03-23 20:42:23.340,2016-03-25 15:44:59.270,4100.0,044138EU,4.33
80,115.05,2016-03-25 15:45:03.853,2016-03-30 10:47:52.030,2700.0,037739CH,3.09
81,24.84,2016-03-30 12:31:42.597,2016-03-31 13:22:00.447,2700.0,042943EU,3.68
82,2.98,2016-03-31 13:22:06.290,2016-03-31 16:20:57.680,300.0,042732EU,4.45
83,13.07,2016-03-31 16:21:02.373,2016-04-01 05:25:31.680,1900.0,042932EU,3.14
84,23.52,2016-04-01 05:26:08.047,2016-04-02 04:57:04.160,1900.0,037732CH,3.55
85,25.97,2016-04-02 05:44:42.803,2016-04-03 07:42:45.450,5700.0,044046EU,3.87
86,18.75,2016-04-03 07:55:54.417,2016-04-04 02:40:47.393,2700.0,041137EU,4.83
87,12.29,2016-04-04 02:40:51.220,2016-04-04 14:58:25.833,2700.0,028138EU,4.7
88,18.44,2016-04-04 14:58:32.603,2016-04-05 09:24:50.320,2300.0,044138EU,4.87
89,7.61,2016-04-05 10:05:05.373,2016-04-05 17:41:47.507,1700.0,043477CH,3.09
90,20.52,2016-04-05 17:43:30.103,2016-04-06 14:14:30.573,5700.0,044046EU,3.18
91,31.53,2016-04-06 14:14:38.670,2016-04-07 21:46:10.860,5000.0,044042EU,4.44
92,24.77,2016-04-07 23:22:09.237,2016-04-09 00:08:21.143,3600.0,023732CH,3.66
93,13.37,2016-04-09 01:00:24.007,2016-04-09 14:22:22.580,2700.0,037739CH,4.39
94,20.2,2016-04-09 14:34:49.613,2016-04-10 10:46:42.940,2700.0,041137EU,4.73
95,13.57,2016-04-11 17:25:07.130,2016-04-12 06:59:15.500,2300.0,042939EU,3.04
96,16.96,2016-04-12 06:59:21.850,2016-04-12 23:57:10.030,2300.0,036647EC,3.4
97,23.84,2016-04-13 00:31:33.227,2016-04-14 00:22:01.577,2700.0,043932EU,4.52
98,14.1,2016-04-14 00:48:57.563,2016-04-14 14:54:54.400,2300.0,042944EU,4.29
99,40.06,2016-04-14 15:27:51.127,2016-04-16 07:31:17.117,5700.0,044046EU,4.79
100,1.9,2016-04-16 07:31:46.437,2016-04-16 09:25:41.390,500.0,037766EC,4.25
101,35.52,2016-04-16 09:25:45.487,2016-04-17 20:56:47.127,2900.0,037766EC,4.52
102,22.9,2016-04-17 21:06:13.150,2016-04-18 19:59:55.980,5000.0,044042EU,4.02
103,9.57,2016-04-18 20:35:33.870,2016-04-19 06:09:53.157,1500.0,043938EU,3.13
104,24.71,2016-04-19 06:14:22.527,2016-04-20 06:57:08.990,3000.0,042939EU,4.32
105,12.68,2016-04-20 07:44:51.530,2016-04-20 20:25:56.920,2000.0,036640EC,3.83
106,13.61,2016-04-20 20:26:42.360,2016-04-21 10:03:07.377,3000.0,042943EU,4.79
107,4.22,2016-04-21 10:03:15.793,2016-04-21 14:16:14.447,1000.0,042742EU,4.69
108,10.77,2016-04-21 14:16:21.727,2016-04-22 01:02:34.983,1000.0,041642EU,3.74
109,22.82,2016-04-22 01:18:55.843,2016-04-23 00:08:24.780,5700.0,044046EU,3.83
110,6.14,2016-04-23 00:18:02.740,2016-04-23 06:26:33.980,1700.0,043477CH,4.68
111,52.02,2016-04-23 06:32:58.260,2016-04-25 10:34:07.083,3600.0,044138EU,4.63
112,13.31,2016-04-25 10:34:12.657,2016-04-25 23:52:54.960,2700.0,037739CH,4.87
113,21.6,2016-04-26 00:16:41.697,2016-04-26 21:52:34.670,5000.0,044042EU,4.89
114,22.85,2016-04-26 22:10:04.843,2016-04-27 21:01:00.160,5700.0,044046EU,4.12
115,14.05,2016-04-28 01:30:01.093,2016-04-28 15:32:52.703,1800.0,037732CH,3.87
116,9.03,2016-04-28 16:27:01.753,2016-04-29 01:28:42.767,1800.0,023732CH,3.94
117,16.18,2016-04-29 02:17:48.747,2016-04-29 18:28:39.113,1800.0,042932EU,3.73
118,11.98,2016-04-29 20:30:17.397,2016-04-30 08:29:06.160,2700.0,042943EU,3.92
119,28.37,2016-04-30 08:39:03.560,2016-05-01 13:01:23.143,3000.0,042939EU,4.69
120,28.98,2016-05-01 13:20:57.187,2016-05-02 18:19:30.057,2300.0,036647EC,3.31
121,8.85,2016-05-02 18:41:54.710,2016-05-03 03:33:09.270,800.0,023738CH,4.12
122,14.11,2016-05-03 03:34:09.330,2016-05-03 17:40:30.467,1900.0,037739CH,3.6
123,29.24,2016-05-03 17:40:37.830,2016-05-04 22:55:03.543,2700.0,044138EU,4.43
124,58.41,2016-05-04 23:35:43.813,2016-05-07 10:00:06.300,2300.0,041137EU,4.81
125,41.82,2016-05-07 10:27:54.837,2016-05-09 04:16:53.470,10500.0,044046EU,4.17
126,27.99,2016-05-09 04:16:59.480,2016-05-10 08:16:40.673,5000.0,044042EU,4.84
127,20.96,2016-05-10 08:16:46.363,2016-05-11 05:14:34.140,2300.0,037766EC,4.61
128,13.51,2016-05-11 05:14:40.450,2016-05-11 18:44:58.750,2700.0,023732CH,3.07
129,5.74,2016-05-11 18:45:07.550,2016-05-12 00:29:38.143,450.0,042732EU,3.8
130,38.98,2016-05-12 00:34:57.207,2016-05-13 15:33:30.367,7000.0,043932EU,4.49
131,31.55,2016-05-13 15:33:35.670,2016-05-14 23:06:28.633,2700.0,042943EU,4.79
132,7.26,2016-05-14 23:06:34.920,2016-05-15 06:22:27.840,1800.0,036640EC,4.24
133,15.96,2016-05-15 06:42:44.887,2016-05-15 22:40:16.920,2700.0,042939EU,3.25
134,70.82,2016-05-15 22:40:40.017,2016-05-18 21:29:56.510,2400.0,037739CH,3.87
135,10.37,2016-05-18 21:30:00.597,2016-05-19 07:52:17.817,1500.0,041137EU,4.38
136,23.93,2016-05-19 14:28:18.807,2016-05-20 14:24:08.127,4500.0,043932EU,3.55
