Product,UnitPrice,Power
NOUILLES PPX 10x1KG,5,9.389752278459696
NONE,5,0.0
TOSCA MACARONI KORT 10x1KG IN,5,7.7893841192358995
MACARONI COUPÉS PPX 10X1KG,5,9.755658584039773
TOSCA HORENTJES 12x1KG IN DISP,5,9.622526124881976
COQUILLETTES PPX 12x1KG,5,7.864890415529973
HORENTJES AMBRA SUPERIORE 20x5,5,2.1173122852577118
CARREFOUR DISCOUNT COQUILLETTE,5,2.629208386489628
