ID,Duration,Start,End
159,5.64,2016-04-08 01:20:56.177,2016-04-08 06:59:22.473
160,5.37,2016-04-08 08:33:06.457,2016-04-08 13:55:10.580
161,26.99,2016-04-08 16:14:25.260,2016-04-09 19:13:34.143
162,9.25,2016-04-09 19:13:38.320,2016-04-10 04:28:20.697
163,6.05,2016-04-11 04:03:41.057,2016-04-11 10:06:37.047
164,14.15,2016-04-11 10:16:06.110,2016-04-12 00:25:23.833
165,8.95,2016-04-12 00:25:29.233,2016-04-12 09:22:20.100
166,7.14,2016-04-12 09:39:52.180,2016-04-12 16:48:04.690
167,11.15,2016-04-12 16:53:43.293,2016-04-13 04:02:29.930
168,5.67,2016-04-13 04:14:40.887,2016-04-13 09:55:09.460
169,5.41,2016-04-13 10:14:31.590,2016-04-13 15:39:09.497
170,18.2,2016-04-13 15:49:07.990,2016-04-14 10:01:22.270
171,5.52,2016-04-13 23:36:54.563,2016-04-14 05:08:13.677
172,5.82,2016-04-14 05:08:17.473,2016-04-14 10:57:43.493
173,6.98,2016-04-14 14:25:11.633,2016-04-14 21:23:42.757
174,12.76,2016-04-14 21:23:47.557,2016-04-15 10:09:15.817
175,5.06,2016-04-14 23:24:04.307,2016-04-15 04:27:32.560
176,3.69,2016-04-15 10:23:24.127,2016-04-15 14:04:50.887
177,17.05,2016-04-15 16:30:10.563,2016-04-16 09:33:25.940
178,28.31,2016-04-16 09:58:10.030,2016-04-17 14:16:40.357
179,5.8,2016-04-18 10:00:55.453,2016-04-18 15:48:59.510
180,6.37,2016-04-18 15:58:26.947,2016-04-18 22:20:33.533
181,16.26,2016-04-18 22:20:37.743,2016-04-19 14:36:02.870
182,6.32,2016-04-19 15:56:05.477,2016-04-19 22:15:33.887
183,7.37,2016-04-19 22:15:40.860,2016-04-20 05:37:58.883
184,8.13,2016-04-20 05:48:55.080,2016-04-20 13:56:57.163
185,11.66,2016-04-20 14:08:48.723,2016-04-21 01:48:24.197
186,5.41,2016-04-21 01:48:27.990,2016-04-21 07:13:00.360
187,7.99,2016-04-21 07:30:25.563,2016-04-21 15:29:34.633
188,11.36,2016-04-22 05:33:34.833,2016-04-22 16:55:07.677
189,6.52,2016-04-22 17:06:31.840,2016-04-22 23:37:28.180
190,22.84,2016-04-23 02:39:52.987,2016-04-24 01:30:27.787
191,11.38,2016-04-24 01:52:18.947,2016-04-24 13:15:24.410
192,14.45,2016-04-24 14:00:41.643,2016-04-25 04:27:35.580
193,8.35,2016-04-25 07:56:07.197,2016-04-25 16:17:03.317
194,14.49,2016-04-29 10:16:42.040,2016-04-30 00:45:59.783
195,5.95,2016-04-29 12:41:28.183,2016-04-29 18:38:33.493
196,5.03,2016-04-30 00:46:04.407,2016-04-30 05:47:50.033
197,5.65,2016-04-30 06:14:06.873,2016-04-30 11:53:14.337
198,38.21,2016-04-30 13:50:03.590,2016-05-02 04:02:52.453
199,6.28,2016-05-02 01:34:46.290,2016-05-02 07:51:21.660
200,8.35,2016-05-02 08:17:29.027,2016-05-02 16:38:23.200
201,6.76,2016-05-02 16:45:23.147,2016-05-02 23:30:53.697
202,7.23,2016-05-02 23:30:58.247,2016-05-03 06:45:01.240
203,5.01,2016-05-03 07:09:27.780,2016-05-03 12:09:46.697
204,5.8,2016-05-03 12:32:39.997,2016-05-03 18:20:36.273
205,6.22,2016-05-03 18:26:23.873,2016-05-04 00:39:43.833
206,5.83,2016-05-04 00:39:47.543,2016-05-04 06:29:35.840
207,15.85,2016-05-07 06:31:05.350,2016-05-07 22:22:22.943
208,11.12,2016-05-07 23:00:29.820,2016-05-08 10:07:42.663
209,20.56,2016-05-08 10:24:54.470,2016-05-09 06:58:38.333
210,11.42,2016-05-09 06:37:46.230,2016-05-09 18:03:01.650
211,5.03,2016-05-09 18:25:37.543,2016-05-09 23:27:15.213
212,6.23,2016-05-09 23:32:31.180,2016-05-10 05:46:12.780
213,10.42,2016-05-10 08:31:59.040,2016-05-10 18:57:23.633
214,5.1,2016-05-10 19:23:08.803,2016-05-11 00:29:23.793
215,6.15,2016-05-11 00:29:27.790,2016-05-11 06:38:12.450
216,5.48,2016-05-11 12:21:10.907,2016-05-11 17:50:03.240
217,5.69,2016-05-11 18:12:05.357,2016-05-11 23:53:15.213
218,6.8,2016-05-11 23:53:19.197,2016-05-12 06:41:10.450
219,6.14,2016-05-12 07:02:33.317,2016-05-12 13:11:11.473
220,5.74,2016-05-12 17:38:32.313,2016-05-12 23:22:42.140
221,13.91,2016-05-12 23:22:50.430,2016-05-13 13:17:18.880
222,5.86,2016-05-13 14:43:07.020,2016-05-13 20:34:54.340
223,16.21,2016-05-13 23:11:24.850,2016-05-14 15:24:08.457
224,10.16,2016-05-14 16:52:21.487,2016-05-15 03:01:54.513
225,6.79,2016-05-17 06:15:45.797,2016-05-17 13:03:10.130
226,6.65,2016-05-17 13:13:08.710,2016-05-17 19:52:25.620
227,12.11,2016-05-17 19:52:33.203,2016-05-18 07:58:53.807
228,6.03,2016-05-18 08:15:49.340,2016-05-18 14:17:38.670
229,11.51,2016-05-18 14:46:06.927,2016-05-19 02:16:26.797
230,7.08,2016-05-19 02:43:40.833,2016-05-19 09:48:22.683
231,11.97,2016-05-19 10:12:42.767,2016-05-19 22:11:11.090
232,5.36,2016-05-19 22:11:14.720,2016-05-20 03:32:32.997
233,12.75,2016-05-20 03:57:52.960,2016-05-20 16:43:08.673
234,12.58,2016-05-20 19:06:17.540,2016-05-21 07:41:22.777
235,34.93,2016-05-21 08:02:42.940,2016-05-22 18:58:17.130
236,7.15,2016-05-23 11:41:44.060,2016-05-23 18:50:40.107
237,8.37,2016-05-23 18:57:18.450,2016-05-24 03:19:28.313
238,6.83,2016-05-24 03:19:31.760,2016-05-24 10:09:27.920
239,5.28,2016-05-24 10:22:44.380,2016-05-24 15:39:32.517
240,10.47,2016-05-24 16:23:21.463,2016-05-25 02:51:25.373
241,2.9,2016-05-25 02:51:28.690,2016-05-25 05:45:15.990
242,5.7,2016-05-25 05:45:19.153,2016-05-25 11:27:17.830
243,7.76,2016-05-25 11:56:05.710,2016-05-25 19:41:33.830
244,6.71,2016-05-25 19:41:38.157,2016-05-26 02:24:07.057
245,11.24,2016-05-26 02:47:13.323,2016-05-26 14:01:45.293
246,6.36,2016-05-26 14:01:53.173,2016-05-26 20:23:34.023
247,7.03,2016-05-26 20:23:37.970,2016-05-27 03:25:23.427
248,9.39,2016-05-27 18:28:50.160,2016-05-28 03:52:17.060
249,23.46,2016-05-28 04:32:04.440,2016-05-29 03:59:56.557
250,6.41,2016-05-30 10:15:52.880,2016-05-30 16:40:29.747
251,5.69,2016-05-30 16:52:43.250,2016-05-30 22:33:49.720
252,8.89,2016-05-30 22:33:52.883,2016-05-31 07:27:30.147
253,6.18,2016-05-31 07:47:41.213,2016-05-31 13:58:38.740
254,5.74,2016-05-31 14:19:51.653,2016-05-31 20:04:17.910
255,11.69,2016-05-31 20:04:21.443,2016-06-01 07:46:02.310
256,5.99,2016-06-01 18:20:56.057,2016-06-02 00:20:14.160
257,6.63,2016-06-02 00:20:19.193,2016-06-02 06:58:07.033
258,8.78,2016-06-02 07:25:51.097,2016-06-02 16:12:48.233
259,5.78,2016-06-02 18:10:59.263,2016-06-02 23:57:31.303
260,6.44,2016-06-02 23:57:35.397,2016-06-03 06:24:13.810
261,6.24,2016-06-03 06:49:59.633,2016-06-03 13:04:32.470
262,7.68,2016-06-03 13:12:37.267,2016-06-03 20:53:26.920
263,20.15,2016-06-03 23:13:37.270,2016-06-04 19:22:43.920
264,17.11,2016-06-04 19:46:40.627,2016-06-05 12:53:25.980
265,7.07,2016-06-05 22:22:59.660,2016-06-06 05:27:24.133
266,6.0,2016-06-06 05:50:51.800,2016-06-06 11:50:44.300
267,6.84,2016-06-06 12:13:21.080,2016-06-06 19:03:34.877
268,7.44,2016-06-06 19:03:39.037,2016-06-07 02:30:02.797
269,6.64,2016-06-07 02:30:06.067,2016-06-07 09:08:39.043
270,8.2,2016-06-07 09:19:00.923,2016-06-07 17:30:47.860
271,9.02,2016-06-07 17:54:59.507,2016-06-08 02:56:03.643
272,7.42,2016-06-09 15:58:19.727,2016-06-09 23:23:16.437
273,6.01,2016-06-09 23:23:23.603,2016-06-10 05:23:42.200
274,14.13,2016-06-10 05:48:27.673,2016-06-10 19:56:01.243
275,6.54,2016-06-10 19:56:05.860,2016-06-11 02:28:39.520
276,47.55,2016-06-11 04:30:08.477,2016-06-13 04:03:13.333
277,25.75,2016-06-11 12:17:00.560,2016-06-12 14:01:43.127
278,7.29,2016-06-13 12:41:37.310,2016-06-13 19:59:15.340
279,10.02,2016-06-13 19:59:19.997,2016-06-14 06:00:47.557
280,7.27,2016-06-14 06:44:23.943,2016-06-14 14:00:51.767
281,10.16,2016-06-14 14:47:07.867,2016-06-15 00:56:49.040
282,5.79,2016-06-15 00:56:52.320,2016-06-15 06:44:15.567
283,9.41,2016-06-15 07:33:07.040,2016-06-15 16:57:44.670
284,6.56,2016-06-15 17:39:45.713,2016-06-16 00:13:31.633
285,5.83,2016-06-16 00:13:35.543,2016-06-16 06:03:31.260
286,6.74,2016-06-16 06:40:45.220,2016-06-16 13:24:55.420
287,11.11,2016-06-16 13:34:43.670,2016-06-17 00:41:09.703
288,6.51,2016-06-17 01:02:53.757,2016-06-17 07:33:19.920
289,8.92,2016-06-17 08:13:16.970,2016-06-17 17:08:18.770
290,21.6,2016-06-17 20:12:38.873,2016-06-18 17:48:25.137
291,19.99,2016-06-18 18:04:41.353,2016-06-19 14:04:17.507
292,6.45,2016-06-20 00:00:55.213,2016-06-20 06:27:39.957
293,6.23,2016-06-20 06:49:44.010,2016-06-20 13:03:41.210
294,6.7,2016-06-20 13:11:14.450,2016-06-20 19:53:05.457
295,5.87,2016-06-20 19:53:12.050,2016-06-21 01:45:32.677
296,5.9,2016-06-21 01:45:42.530,2016-06-21 07:39:56.633
297,7.49,2016-06-21 08:00:22.793,2016-06-21 15:29:53.087
298,6.22,2016-06-21 17:47:48.640,2016-06-22 00:01:06.900
299,6.91,2016-06-22 00:01:10.977,2016-06-22 06:55:33.700
300,6.96,2016-06-22 07:18:42.093,2016-06-22 14:16:15.053
301,6.95,2016-06-22 14:24:13.513,2016-06-22 21:21:08.730
302,6.95,2016-06-23 15:14:26.877,2016-06-23 22:11:09.017
303,6.68,2016-06-23 22:11:14.180,2016-06-24 04:52:13.097
304,6.46,2016-06-24 05:09:15.610,2016-06-24 11:36:47.230
305,6.42,2016-06-24 11:47:36.793,2016-06-24 18:12:43.583
306,17.83,2016-06-24 20:57:53.737,2016-06-25 14:47:33.503
307,35.72,2016-06-25 15:16:26.017,2016-06-27 02:59:50.620
308,6.91,2016-06-27 06:06:57.510,2016-06-27 13:01:18.393
309,8.34,2016-06-27 13:10:04.533,2016-06-27 21:30:24.483
310,5.92,2016-06-27 21:30:29.063,2016-06-28 03:25:44.220
311,6.5,2016-06-28 04:14:31.547,2016-06-28 10:44:20.980
312,7.55,2016-06-28 10:44:30.280,2016-06-28 18:17:29.067
313,6.2,2016-06-28 18:36:14.487,2016-06-29 00:48:28.850
314,6.15,2016-06-29 00:48:33.670,2016-06-29 06:57:29.207
315,5.9,2016-06-29 07:39:37.300,2016-06-29 13:33:38.083
316,6.63,2016-06-29 13:51:07.053,2016-06-29 20:29:03.873
317,6.53,2016-06-29 20:29:08.450,2016-06-30 03:01:10.037
318,6.11,2016-06-30 03:19:57.297,2016-06-30 09:26:41.370
319,5.75,2016-06-30 09:53:32.723,2016-06-30 15:38:31.367
320,5.66,2016-06-30 16:05:17.123,2016-06-30 21:45:09.980
321,9.68,2016-06-30 21:45:13.867,2016-07-01 07:26:14.817
322,11.15,2016-07-01 12:55:54.117,2016-07-02 00:04:50.440
323,25.18,2016-07-02 00:24:38.013,2016-07-03 01:35:39.443
324,20.89,2016-07-03 01:35:44.590,2016-07-03 22:29:20.820
325,6.9,2016-07-04 08:03:46.097,2016-07-04 14:57:52.880
326,6.39,2016-07-04 15:29:16.100,2016-07-04 21:52:29.670
327,24.64,2016-07-04 22:09:49.427,2016-07-05 22:47:57.297
328,6.02,2016-07-05 23:10:19.707,2016-07-06 05:11:42.460
329,6.4,2016-07-06 05:21:24.040,2016-07-06 11:45:23.403
330,6.7,2016-07-06 12:04:42.737,2016-07-06 18:46:24.870
331,7.0,2016-07-06 19:08:31.183,2016-07-07 02:08:21.247
332,5.95,2016-07-07 02:08:24.657,2016-07-07 08:05:27.080
333,5.78,2016-07-07 08:14:15.463,2016-07-07 14:00:53.867
334,47.62,2016-07-08 13:39:36.393,2016-07-10 13:16:37.983
335,6.12,2016-07-11 13:59:38.407,2016-07-11 20:06:42.260
336,8.29,2016-07-11 20:25:04.023,2016-07-12 04:42:22.860
337,4.71,2016-07-12 05:03:20.690,2016-07-12 09:45:55.253
338,5.82,2016-07-13 06:26:09.470,2016-07-13 12:15:36.513
339,6.07,2016-07-14 01:46:58.093,2016-07-14 07:51:13.997
340,7.17,2016-07-14 08:00:48.797,2016-07-14 15:10:54.023
341,6.5,2016-07-14 15:16:21.890,2016-07-14 21:46:37.477
342,5.91,2016-07-25 10:49:20.083,2016-07-25 16:43:52.900
343,6.6,2016-07-25 17:17:20.003,2016-07-25 23:53:22.383
344,6.17,2016-07-26 00:10:49.743,2016-07-26 06:21:19.427
345,5.71,2016-07-26 06:39:36.283,2016-07-26 12:22:10.067
346,6.19,2016-07-26 12:39:00.307,2016-07-26 18:50:26.977
347,5.76,2016-07-26 19:05:40.487,2016-07-27 00:51:18.083
348,6.02,2016-07-27 00:59:49.417,2016-07-27 07:00:57.337
349,6.64,2016-07-27 07:25:00.990,2016-07-27 14:03:27.600
350,5.62,2016-07-27 14:10:42.007,2016-07-27 19:47:43.773
351,17.38,2016-07-27 20:06:34.353,2016-07-28 13:29:17.497
352,6.89,2016-07-28 16:14:33.750,2016-07-28 23:07:50.263
353,7.91,2016-07-28 23:28:09.530,2016-07-29 07:22:40.873
354,15.28,2016-07-29 12:17:49.697,2016-07-30 03:34:22.633
355,18.61,2016-07-30 03:56:59.363,2016-07-30 22:33:24.660
356,14.76,2016-07-30 23:04:20.193,2016-07-31 13:49:47.597
357,13.74,2016-07-31 23:40:27.027,2016-08-01 13:24:37.890
358,7.64,2016-08-01 14:00:16.080,2016-08-01 21:38:46.953
359,7.99,2016-08-03 01:02:03.840,2016-08-03 09:01:24.340
360,6.32,2016-08-03 09:13:36.117,2016-08-03 15:32:51.477
361,6.56,2016-08-03 15:32:57.090,2016-08-03 22:06:37.577
362,5.89,2016-08-03 22:06:42.120,2016-08-04 03:59:53.847
363,5.8,2016-08-04 04:13:40.413,2016-08-04 10:01:27.160
364,16.64,2016-08-04 22:18:46.633,2016-08-05 14:56:56.477
365,32.72,2016-08-05 15:14:37.057,2016-08-06 23:57:40.423
366,18.6,2016-08-07 00:17:48.303,2016-08-07 18:53:58.343
367,6.71,2016-08-08 06:23:21.450,2016-08-08 13:05:40.920
368,6.18,2016-08-08 13:05:44.923,2016-08-08 19:16:44.250
369,12.62,2016-08-09 04:08:01.463,2016-08-09 16:44:57.107
370,5.79,2016-08-09 17:00:01.240,2016-08-09 22:47:11.047
371,6.5,2016-08-09 23:03:35.850,2016-08-10 05:33:39.590
372,6.97,2016-08-10 06:10:10.407,2016-08-10 13:08:26.950
373,6.47,2016-08-10 13:15:09.200,2016-08-10 19:43:18.173
374,6.39,2016-08-10 19:43:24.883,2016-08-11 02:06:36.750
375,6.98,2016-08-11 02:06:41.000,2016-08-11 09:05:25.047
376,8.63,2016-08-11 09:31:55.000,2016-08-11 18:09:40.617
377,6.61,2016-08-11 18:23:57.563,2016-08-12 01:00:25.920
378,22.8,2016-08-12 05:30:55.143,2016-08-13 04:18:42.067
379,23.29,2016-08-13 05:06:01.900,2016-08-14 04:23:25.503
380,7.06,2016-08-17 06:23:40.080,2016-08-17 13:27:00.973
381,6.38,2016-08-17 13:30:23.813,2016-08-17 19:53:01.230
382,6.57,2016-08-17 20:25:56.200,2016-08-18 03:00:23.353
383,24.51,2016-08-18 03:37:28.763,2016-08-19 04:07:58.537
384,6.21,2016-08-19 04:31:20.580,2016-08-19 10:43:39.357
385,6.27,2016-08-19 11:46:09.357,2016-08-19 18:02:27.470
386,5.85,2016-08-19 21:26:35.400,2016-08-20 03:17:23.517
387,14.13,2016-08-20 05:47:35.260,2016-08-20 19:55:27.570
388,30.98,2016-08-20 20:14:16.487,2016-08-22 03:13:01.893
