1,dict_keys([21518294.264941648])
2,dict_keys([21562567.516236834])
3,dict_keys([21530809.83112437])
4,dict_keys([21522751.52172647])
5,dict_keys([21502852.970339723])
6,dict_keys([21516828.22889336])
7,dict_keys([21515248.801136825])
8,dict_keys([21444683.213241097])
9,dict_keys([21502790.78992457])
10,dict_keys([21494021.299524512])
11,dict_keys([21472437.966482162])
12,dict_keys([21488089.674144033])
13,dict_keys([21445569.94562843])
14,dict_keys([21464704.967216074])
