ID,Duration,Start,End,Power,Factor
73,13.33,2016-03-19 17:14:35.687,2016-03-20 06:34:05.777,42.24,119.07
74,22.53,2016-03-20 06:48:40.323,2016-03-21 05:20:30.370,35.2,112.21
75,7.91,2016-03-21 05:20:34.183,2016-03-21 13:15:15.787,31.85,168.78
76,5.02,2016-03-21 13:15:20.783,2016-03-21 18:16:47.647,35.65,133.59
77,25.12,2016-03-21 18:16:51.893,2016-03-22 19:24:18.090,43.06,143.78
78,25.15,2016-03-22 19:24:27.683,2016-03-23 20:33:37.237,45.89,185.9
79,43.04,2016-03-23 20:42:23.340,2016-03-25 15:44:59.270,33.9,182.62
80,115.05,2016-03-25 15:45:03.853,2016-03-30 10:47:52.030,47.07,154.29
81,24.84,2016-03-30 12:31:42.597,2016-03-31 13:22:00.447,34.54,161.24
82,2.98,2016-03-31 13:22:06.290,2016-03-31 16:20:57.680,30.23,111.43
83,13.07,2016-03-31 16:21:02.373,2016-04-01 05:25:31.680,49.17,106.2
84,23.52,2016-04-01 05:26:08.047,2016-04-02 04:57:04.160,30.65,178.19
85,25.97,2016-04-02 05:44:42.803,2016-04-03 07:42:45.450,45.39,171.25
86,18.75,2016-04-03 07:55:54.417,2016-04-04 02:40:47.393,37.6,158.75
87,12.29,2016-04-04 02:40:51.220,2016-04-04 14:58:25.833,34.08,163.15
88,18.44,2016-04-04 14:58:32.603,2016-04-05 09:24:50.320,33.6,179.26
89,7.61,2016-04-05 10:05:05.373,2016-04-05 17:41:47.507,44.11,147.11
90,20.52,2016-04-05 17:43:30.103,2016-04-06 14:14:30.573,43.11,178.92
91,31.53,2016-04-06 14:14:38.670,2016-04-07 21:46:10.860,47.13,155.85
92,24.77,2016-04-07 23:22:09.237,2016-04-09 00:08:21.143,48.69,170.68
93,13.37,2016-04-09 01:00:24.007,2016-04-09 14:22:22.580,34.08,147.1
94,20.2,2016-04-09 14:34:49.613,2016-04-10 10:46:42.940,39.95,131.15
95,13.57,2016-04-11 17:25:07.130,2016-04-12 06:59:15.500,47.86,183.83
96,16.96,2016-04-12 06:59:21.850,2016-04-12 23:57:10.030,46.02,195.38
97,23.84,2016-04-13 00:31:33.227,2016-04-14 00:22:01.577,36.22,139.41
98,14.1,2016-04-14 00:48:57.563,2016-04-14 14:54:54.400,45.65,143.54
99,40.06,2016-04-14 15:27:51.127,2016-04-16 07:31:17.117,39.82,106.67
100,1.9,2016-04-16 07:31:46.437,2016-04-16 09:25:41.390,30.59,130.77
101,35.52,2016-04-16 09:25:45.487,2016-04-17 20:56:47.127,42.39,120.21
102,22.9,2016-04-17 21:06:13.150,2016-04-18 19:59:55.980,31.9,163.67
103,9.57,2016-04-18 20:35:33.870,2016-04-19 06:09:53.157,45.31,163.39
104,24.71,2016-04-19 06:14:22.527,2016-04-20 06:57:08.990,32.82,143.48
105,12.68,2016-04-20 07:44:51.530,2016-04-20 20:25:56.920,34.98,187.08
106,13.61,2016-04-20 20:26:42.360,2016-04-21 10:03:07.377,42.29,109.27
107,4.22,2016-04-21 10:03:15.793,2016-04-21 14:16:14.447,44.54,119.99
108,10.77,2016-04-21 14:16:21.727,2016-04-22 01:02:34.983,34.38,192.0
109,22.82,2016-04-22 01:18:55.843,2016-04-23 00:08:24.780,43.93,126.4
110,6.14,2016-04-23 00:18:02.740,2016-04-23 06:26:33.980,45.19,160.07
