ID,Duration,Start,End,Power
80,17.38,2016-02-26 18:09:44.967,2016-02-27 11:32:29.690,35.36
81,9.78,2016-02-27 11:50:47.993,2016-02-27 21:37:53.073,34.03
82,15.46,2016-02-27 22:03:14.103,2016-02-28 13:30:37.207,36.3
83,6.13,2016-02-29 11:27:51.930,2016-02-29 17:35:22.590,38.46
84,8.89,2016-02-29 17:47:40.510,2016-03-01 02:41:20.387,45.48
85,5.15,2016-03-01 02:41:25.427,2016-03-01 07:50:39.647,31.3
86,10.32,2016-03-01 08:07:26.617,2016-03-01 18:26:32.357,45.88
87,7.3,2016-03-01 18:37:00.660,2016-03-02 01:54:43.363,46.37
88,7.1,2016-03-02 02:20:39.547,2016-03-02 09:26:45.250,42.45
89,5.68,2016-03-02 09:36:33.243,2016-03-02 15:17:05.917,43.8
90,5.94,2016-03-02 15:30:04.343,2016-03-02 21:26:46.247,30.48
91,5.45,2016-03-02 21:26:51.723,2016-03-03 02:54:08.570,37.67
92,6.03,2016-03-03 02:54:12.543,2016-03-03 08:55:58.037,35.86
93,6.06,2016-03-03 09:14:35.377,2016-03-03 15:18:05.387,46.34
94,8.01,2016-03-03 15:38:47.410,2016-03-03 23:39:22.723,44.98
95,5.88,2016-03-03 23:39:26.350,2016-03-04 05:32:28.770,37.41
96,5.62,2016-03-04 05:42:07.803,2016-03-04 11:19:15.660,34.14
97,31.59,2016-03-04 14:33:15.687,2016-03-05 22:08:32.753,32.84
98,5.6,2016-03-07 07:15:15.010,2016-03-07 12:51:15.607,40.2
99,6.85,2016-03-07 13:01:35.273,2016-03-07 19:52:25.040,39.38
100,6.07,2016-03-07 19:52:28.077,2016-03-08 01:56:48.783,39.63
101,5.99,2016-03-08 01:56:52.630,2016-03-08 07:56:10.880,38.01
102,5.62,2016-03-08 14:42:34.467,2016-03-08 20:19:33.740,44.53
103,5.55,2016-03-08 20:19:37.340,2016-03-09 01:52:41.993,35.1
104,7.43,2016-03-09 01:52:46.103,2016-03-09 09:18:25.073,35.68
105,7.52,2016-03-09 09:36:41.110,2016-03-09 17:07:57.233,38.98
106,5.29,2016-03-09 17:16:24.767,2016-03-09 22:33:56.617,37.95
107,6.32,2016-03-09 22:34:00.277,2016-03-10 04:53:16.873,44.86
108,1.89,2016-03-10 14:01:49.383,2016-03-10 15:55:21.993,46.34
109,8.89,2016-03-10 15:31:39.877,2016-03-11 00:25:21.503,30.53
110,1.94,2016-03-11 00:25:26.987,2016-03-11 02:21:37.257,36.95
111,5.8,2016-03-11 02:21:41.440,2016-03-11 08:09:49.063,30.27
112,5.53,2016-03-11 08:23:29.310,2016-03-11 13:55:19.630,38.43
113,10.26,2016-03-11 17:29:29.470,2016-03-12 03:45:23.397,43.2
114,12.69,2016-03-12 03:45:30.537,2016-03-12 16:27:03.300,46.55
115,16.73,2016-03-12 16:47:11.860,2016-03-13 09:31:13.827,41.09
116,11.34,2016-03-14 07:05:31.497,2016-03-14 18:25:55.560,40.0
117,17.24,2016-03-14 18:48:01.443,2016-03-15 12:02:08.120,42.26
118,5.68,2016-03-15 14:22:13.230,2016-03-15 20:02:57.290,37.71
119,6.12,2016-03-15 20:36:54.773,2016-03-16 02:43:51.040,32.74
120,10.89,2016-03-16 02:57:42.123,2016-03-16 13:51:18.657,43.13
121,5.43,2016-03-16 14:14:44.813,2016-03-16 19:40:39.560,35.28
122,5.76,2016-03-16 19:47:54.003,2016-03-17 01:33:34.923,31.44
123,7.66,2016-03-17 01:33:39.063,2016-03-17 09:13:01.137,32.39
124,6.57,2016-03-17 09:29:46.043,2016-03-17 16:04:15.340,39.71
125,6.17,2016-03-17 16:04:20.073,2016-03-17 22:14:24.670,43.28
126,13.08,2016-03-17 22:14:28.130,2016-03-18 11:19:06.947,48.91
127,5.04,2016-03-18 11:39:21.980,2016-03-18 16:41:42.347,48.79
128,5.58,2016-03-18 16:41:48.187,2016-03-18 22:16:22.640,40.75
129,6.99,2016-03-18 22:16:27.680,2016-03-19 05:16:05.833,37.4
130,12.16,2016-03-19 07:43:57.993,2016-03-19 19:53:48.793,40.33
131,46.6,2016-03-20 20:48:16.153,2016-03-22 19:24:33.380,43.91
132,5.68,2016-03-22 19:32:51.427,2016-03-23 01:13:43.197,36.47
133,5.39,2016-03-23 01:13:50.450,2016-03-23 06:37:01.160,48.6
134,6.19,2016-03-23 07:08:43.637,2016-03-23 13:20:22.760,48.11
135,6.08,2016-03-23 13:59:07.207,2016-03-23 20:03:41.713,30.57
136,6.47,2016-03-23 20:03:50.553,2016-03-24 02:31:45.330,33.17
137,5.47,2016-03-24 02:31:53.117,2016-03-24 08:00:07.013,37.0
138,5.07,2016-03-24 08:38:48.910,2016-03-24 13:42:49.120,34.28
139,4.99,2016-03-30 06:40:59.557,2016-03-30 11:40:11.173,45.83
140,5.86,2016-03-30 12:01:38.440,2016-03-30 17:53:17.380,48.15
141,6.35,2016-03-30 17:53:21.247,2016-03-31 00:14:13.620,38.95
142,5.89,2016-03-31 00:14:17.203,2016-03-31 06:07:35.107,41.97
143,6.85,2016-03-31 06:22:40.027,2016-03-31 13:13:40.930,31.87
144,5.45,2016-03-31 13:34:07.620,2016-03-31 19:00:52.843,37.55
145,5.36,2016-03-31 19:01:04.273,2016-04-01 00:22:31.523,46.56
146,11.42,2016-04-01 00:22:34.623,2016-04-01 11:47:43.630,46.44
147,8.96,2016-04-01 12:08:08.253,2016-04-01 21:05:36.273,30.49
148,10.78,2016-04-02 00:14:19.233,2016-04-02 11:01:06.870,36.08
149,21.53,2016-04-02 11:26:26.787,2016-04-03 08:57:59.970,41.58
150,5.75,2016-04-03 20:54:27.827,2016-04-04 02:39:11.450,30.86
151,5.52,2016-04-04 03:22:43.170,2016-04-04 08:53:46.333,37.01
152,7.49,2016-04-04 09:29:51.793,2016-04-04 16:59:11.413,49.37
153,6.04,2016-04-04 16:59:15.540,2016-04-04 23:01:43.797,43.58
154,8.52,2016-04-04 23:01:49.550,2016-04-05 07:33:02.973,45.19
155,5.35,2016-04-05 08:07:43.900,2016-04-05 13:28:41.877,44.6
156,6.6,2016-04-05 13:42:28.830,2016-04-05 20:18:30.333,36.47
157,38.37,2016-04-06 05:11:14.090,2016-04-07 19:33:29.840,49.61
158,5.78,2016-04-07 19:33:36.890,2016-04-08 01:20:15.030,40.61
159,5.64,2016-04-08 01:20:56.177,2016-04-08 06:59:22.473,38.48
160,5.37,2016-04-08 08:33:06.457,2016-04-08 13:55:10.580,34.19
161,26.99,2016-04-08 16:14:25.260,2016-04-09 19:13:34.143,44.98
162,9.25,2016-04-09 19:13:38.320,2016-04-10 04:28:20.697,45.96
163,6.05,2016-04-11 04:03:41.057,2016-04-11 10:06:37.047,39.48
164,14.15,2016-04-11 10:16:06.110,2016-04-12 00:25:23.833,45.8
165,8.95,2016-04-12 00:25:29.233,2016-04-12 09:22:20.100,49.48
166,7.14,2016-04-12 09:39:52.180,2016-04-12 16:48:04.690,41.29
167,11.15,2016-04-12 16:53:43.293,2016-04-13 04:02:29.930,34.43
168,5.67,2016-04-13 04:14:40.887,2016-04-13 09:55:09.460,37.77
169,5.41,2016-04-13 10:14:31.590,2016-04-13 15:39:09.497,40.65
170,18.2,2016-04-13 15:49:07.990,2016-04-14 10:01:22.270,36.24
171,5.52,2016-04-13 23:36:54.563,2016-04-14 05:08:13.677,46.62
172,5.82,2016-04-14 05:08:17.473,2016-04-14 10:57:43.493,46.18
173,6.98,2016-04-14 14:25:11.633,2016-04-14 21:23:42.757,44.44
174,12.76,2016-04-14 21:23:47.557,2016-04-15 10:09:15.817,47.05
175,5.06,2016-04-14 23:24:04.307,2016-04-15 04:27:32.560,42.4
176,3.69,2016-04-15 10:23:24.127,2016-04-15 14:04:50.887,44.47
177,17.05,2016-04-15 16:30:10.563,2016-04-16 09:33:25.940,47.36
178,28.31,2016-04-16 09:58:10.030,2016-04-17 14:16:40.357,46.18
179,5.8,2016-04-18 10:00:55.453,2016-04-18 15:48:59.510,39.21
180,6.37,2016-04-18 15:58:26.947,2016-04-18 22:20:33.533,30.82
181,16.26,2016-04-18 22:20:37.743,2016-04-19 14:36:02.870,34.16
