,000000EU,FF011501,FF012201,FF014202,FF025001,FF025201,FF025205,FF025305,FF025315,FF025450,FF025460,FF027206,FF027216,FF027401,FF027601,FF029001,FF029101,FF029201,FF035105,FF035902,FF036102,FF036103,FF036110,FF038001,FF042201,FF044001,FF044005,FF044101,FF044301,FF044302,FF049360,FF049361,FF049386,FF049390,FF082005,FF104421,FF125220,FF144220,FF144616,FF145300,FF145420,FF174906,FF174936
FF044005,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF044101,54.0,36521.005,872.74,,,,1043.0935,831.0,,1149.0,,,,,,0.0,,766.986,,,731.9970000000001,,835.5,6014.073,,371.52,,1103.086,1074.5,,,,,,1388.9940000000001,,,1394.488,,1031.987,,,
FF044301,0.0,,924.937,,1158.584,,984.707,,1809.4520000000002,1256.4685,1224.0,5224.003,,,,1657.077,,1069.4965000000002,,,1400.0,353.495,970.495,996.0,1009.0,,,881.06,,,,,,,,782.01,2709.4984999999997,1137.995,,,,,
FF044302,0.0,,,,,,,2300.996,1084.0,,,,,,,,,,1178.0,,,443.0,1463.9969999999998,,,,,,,,,,,,,,,,,495.0,,,
FF049360,0.0,,,,,,,,,,,1462.924,,,,,,,,,,,,,,,,,,,,1274.335,1610.066,,,,,,,,,1815.7615,
FF049361,,,,,,,,,,,,35814.409499999994,,,51717.993,,,,,,,,,,,,,,,,3854.0,,,1779.535,,,,,,,,1379.9969999999998,2038.4969999999998
FF049386,0.0,,62414.99,,,,2880.0370000000003,,,,,1758.933,,,1233.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FF049390,0.0,47390.005000000005,36368.56,,417.0,,,,,72221.99,,,,,,,782.993,35422.003,34272.0015,,,,,,,624.0,,62733.993,1124.0,,,,1976.996,,1814.0,,,,,20533.493,,46932.3535,
FF082005,103.0,884.653,,1466.117,918.0,1170.0,1067.565,,,845.447,1682.0,,,,,1352.7930000000001,1009.0,,709.487,,,2200.01,671.0029999999999,,1305.997,1033.5349999999999,,567.99,1193.225,354.0,,,,,171.013,,,,,1408.004,,,
FF104421,381.0,,1001.0,,,,1603.0,,,1325.087,,,933.004,,,,,,2308.0,,,,,,,4.99,,,820.384,,,,,,,,,,,,,,
FF125220,0.0,1148.006,1128.0,,,,1196.0,429.0,,,814.0,9464.0,,,,1204.0,,,,,1310.0,,,,,835.11,,,,,,,,,,,,,,1074.97,,,
FF144220,0.0,1060.047,915.0,,,,769.0,,832.513,1428.94,,,28560.0,2634.1065,,,5.01,1439.0430000000001,885.027,,,,,,,366.305,,1167.99,,,11925.988000000001,,,,,,,,,,,,
FF144616,28.0,,,,,,,,,,,,2236.0015000000003,,,,,,,,,,,,,,,,,,,,1980.5745000000002,1892.003,,,,,,,,,
FF145300,0.0,1372.5485,1979.0,,1481.0,,1863.4765000000002,1779.0,,1159.177,1150.0,,,,,,1527.0,,1335.0,,7905.5035,1649.94,1184.9265,,,,,,1438.896,1154.003,,635.9929999999999,,,401.0,1411.0230000000001,,1178.0,,928.577,,,
FF145420,34.0,1993.993,0.0,,,,,,,1218.006,,,,,,2398.0,,,1095.03,,1511.405,,,,,,,,,,,,,,1064.993,,,,,1533.146,,,
FF174906,30.0,,,,,,,,,,,1864.277,,,,,,,,,,,,,,,,1365.0059999999999,,,,,1633.787,,,,,,,,,,1404.9285
FF174936,0.0,,,,,,,,,,,1289.917,,,,,2721.304,31998.0,,,,,,,,,,,,333.0,,811.0035,1297.9885,1930.0,,,,,,,,,
