ID,Duration,Start,End,Power
119,6.12,2016-03-15 20:36:54.773,2016-03-16 02:43:51.040,48.4
120,10.89,2016-03-16 02:57:42.123,2016-03-16 13:51:18.657,45.4
121,5.43,2016-03-16 14:14:44.813,2016-03-16 19:40:39.560,45.06
122,5.76,2016-03-16 19:47:54.003,2016-03-17 01:33:34.923,30.13
123,7.66,2016-03-17 01:33:39.063,2016-03-17 09:13:01.137,37.42
124,6.57,2016-03-17 09:29:46.043,2016-03-17 16:04:15.340,40.56
125,6.17,2016-03-17 16:04:20.073,2016-03-17 22:14:24.670,36.47
126,13.08,2016-03-17 22:14:28.130,2016-03-18 11:19:06.947,45.54
127,5.04,2016-03-18 11:39:21.980,2016-03-18 16:41:42.347,31.78
128,5.58,2016-03-18 16:41:48.187,2016-03-18 22:16:22.640,35.56
129,6.99,2016-03-18 22:16:27.680,2016-03-19 05:16:05.833,45.3
130,12.16,2016-03-19 07:43:57.993,2016-03-19 19:53:48.793,49.37
131,46.6,2016-03-20 20:48:16.153,2016-03-22 19:24:33.380,48.53
132,5.68,2016-03-22 19:32:51.427,2016-03-23 01:13:43.197,44.12
133,5.39,2016-03-23 01:13:50.450,2016-03-23 06:37:01.160,33.87
134,6.19,2016-03-23 07:08:43.637,2016-03-23 13:20:22.760,41.25
135,6.08,2016-03-23 13:59:07.207,2016-03-23 20:03:41.713,36.19
136,6.47,2016-03-23 20:03:50.553,2016-03-24 02:31:45.330,30.13
137,5.47,2016-03-24 02:31:53.117,2016-03-24 08:00:07.013,41.85
138,5.07,2016-03-24 08:38:48.910,2016-03-24 13:42:49.120,42.19
139,4.99,2016-03-30 06:40:59.557,2016-03-30 11:40:11.173,39.5
140,5.86,2016-03-30 12:01:38.440,2016-03-30 17:53:17.380,31.36
141,6.35,2016-03-30 17:53:21.247,2016-03-31 00:14:13.620,32.63
142,5.89,2016-03-31 00:14:17.203,2016-03-31 06:07:35.107,32.29
143,6.85,2016-03-31 06:22:40.027,2016-03-31 13:13:40.930,30.66
144,5.45,2016-03-31 13:34:07.620,2016-03-31 19:00:52.843,38.45
145,5.36,2016-03-31 19:01:04.273,2016-04-01 00:22:31.523,43.47
146,11.42,2016-04-01 00:22:34.623,2016-04-01 11:47:43.630,33.53
147,8.96,2016-04-01 12:08:08.253,2016-04-01 21:05:36.273,36.89
148,10.78,2016-04-02 00:14:19.233,2016-04-02 11:01:06.870,36.73
149,21.53,2016-04-02 11:26:26.787,2016-04-03 08:57:59.970,49.86
150,5.75,2016-04-03 20:54:27.827,2016-04-04 02:39:11.450,48.1
151,5.52,2016-04-04 03:22:43.170,2016-04-04 08:53:46.333,39.6
152,7.49,2016-04-04 09:29:51.793,2016-04-04 16:59:11.413,40.39
153,6.04,2016-04-04 16:59:15.540,2016-04-04 23:01:43.797,35.32
154,8.52,2016-04-04 23:01:49.550,2016-04-05 07:33:02.973,42.07
155,5.35,2016-04-05 08:07:43.900,2016-04-05 13:28:41.877,42.33
156,6.6,2016-04-05 13:42:28.830,2016-04-05 20:18:30.333,30.83
157,38.37,2016-04-06 05:11:14.090,2016-04-07 19:33:29.840,38.86
158,5.78,2016-04-07 19:33:36.890,2016-04-08 01:20:15.030,31.63
159,5.64,2016-04-08 01:20:56.177,2016-04-08 06:59:22.473,40.29
160,5.37,2016-04-08 08:33:06.457,2016-04-08 13:55:10.580,32.71
161,26.99,2016-04-08 16:14:25.260,2016-04-09 19:13:34.143,47.32
162,9.25,2016-04-09 19:13:38.320,2016-04-10 04:28:20.697,46.67
163,6.05,2016-04-11 04:03:41.057,2016-04-11 10:06:37.047,37.94
164,14.15,2016-04-11 10:16:06.110,2016-04-12 00:25:23.833,33.29
165,8.95,2016-04-12 00:25:29.233,2016-04-12 09:22:20.100,38.35
166,7.14,2016-04-12 09:39:52.180,2016-04-12 16:48:04.690,31.75
167,11.15,2016-04-12 16:53:43.293,2016-04-13 04:02:29.930,32.71
168,5.67,2016-04-13 04:14:40.887,2016-04-13 09:55:09.460,39.91
169,5.41,2016-04-13 10:14:31.590,2016-04-13 15:39:09.497,44.82
170,18.2,2016-04-13 15:49:07.990,2016-04-14 10:01:22.270,41.32
171,5.52,2016-04-13 23:36:54.563,2016-04-14 05:08:13.677,42.11
172,5.82,2016-04-14 05:08:17.473,2016-04-14 10:57:43.493,32.8
173,6.98,2016-04-14 14:25:11.633,2016-04-14 21:23:42.757,44.53
174,12.76,2016-04-14 21:23:47.557,2016-04-15 10:09:15.817,38.84
175,5.06,2016-04-14 23:24:04.307,2016-04-15 04:27:32.560,34.57
176,3.69,2016-04-15 10:23:24.127,2016-04-15 14:04:50.887,34.68
177,17.05,2016-04-15 16:30:10.563,2016-04-16 09:33:25.940,38.52
178,28.31,2016-04-16 09:58:10.030,2016-04-17 14:16:40.357,41.45
179,5.8,2016-04-18 10:00:55.453,2016-04-18 15:48:59.510,31.43
180,6.37,2016-04-18 15:58:26.947,2016-04-18 22:20:33.533,30.69
181,16.26,2016-04-18 22:20:37.743,2016-04-19 14:36:02.870,45.11
182,6.32,2016-04-19 15:56:05.477,2016-04-19 22:15:33.887,32.94
183,7.37,2016-04-19 22:15:40.860,2016-04-20 05:37:58.883,34.0
184,8.13,2016-04-20 05:48:55.080,2016-04-20 13:56:57.163,49.78
185,11.66,2016-04-20 14:08:48.723,2016-04-21 01:48:24.197,47.18
186,5.41,2016-04-21 01:48:27.990,2016-04-21 07:13:00.360,49.49
187,7.99,2016-04-21 07:30:25.563,2016-04-21 15:29:34.633,44.08
188,11.36,2016-04-22 05:33:34.833,2016-04-22 16:55:07.677,41.76
189,6.52,2016-04-22 17:06:31.840,2016-04-22 23:37:28.180,48.9
190,22.84,2016-04-23 02:39:52.987,2016-04-24 01:30:27.787,33.91
191,11.38,2016-04-24 01:52:18.947,2016-04-24 13:15:24.410,31.37
192,14.45,2016-04-24 14:00:41.643,2016-04-25 04:27:35.580,42.32
193,8.35,2016-04-25 07:56:07.197,2016-04-25 16:17:03.317,35.55
194,14.49,2016-04-29 10:16:42.040,2016-04-30 00:45:59.783,34.3
195,5.95,2016-04-29 12:41:28.183,2016-04-29 18:38:33.493,36.87
196,5.03,2016-04-30 00:46:04.407,2016-04-30 05:47:50.033,37.8
197,5.65,2016-04-30 06:14:06.873,2016-04-30 11:53:14.337,34.93
198,38.21,2016-04-30 13:50:03.590,2016-05-02 04:02:52.453,35.38
199,6.28,2016-05-02 01:34:46.290,2016-05-02 07:51:21.660,33.25
200,8.35,2016-05-02 08:17:29.027,2016-05-02 16:38:23.200,33.32
201,6.76,2016-05-02 16:45:23.147,2016-05-02 23:30:53.697,36.37
202,7.23,2016-05-02 23:30:58.247,2016-05-03 06:45:01.240,31.18
203,5.01,2016-05-03 07:09:27.780,2016-05-03 12:09:46.697,32.51
204,5.8,2016-05-03 12:32:39.997,2016-05-03 18:20:36.273,34.51
205,6.22,2016-05-03 18:26:23.873,2016-05-04 00:39:43.833,44.9
206,5.83,2016-05-04 00:39:47.543,2016-05-04 06:29:35.840,34.27
207,15.85,2016-05-07 06:31:05.350,2016-05-07 22:22:22.943,44.54
208,11.12,2016-05-07 23:00:29.820,2016-05-08 10:07:42.663,40.8
209,20.56,2016-05-08 10:24:54.470,2016-05-09 06:58:38.333,40.72
210,11.42,2016-05-09 06:37:46.230,2016-05-09 18:03:01.650,43.96
211,5.03,2016-05-09 18:25:37.543,2016-05-09 23:27:15.213,44.15
212,6.23,2016-05-09 23:32:31.180,2016-05-10 05:46:12.780,36.79
213,10.42,2016-05-10 08:31:59.040,2016-05-10 18:57:23.633,38.91
214,5.1,2016-05-10 19:23:08.803,2016-05-11 00:29:23.793,36.15
215,6.15,2016-05-11 00:29:27.790,2016-05-11 06:38:12.450,38.68
216,5.48,2016-05-11 12:21:10.907,2016-05-11 17:50:03.240,39.95
217,5.69,2016-05-11 18:12:05.357,2016-05-11 23:53:15.213,39.83
218,6.8,2016-05-11 23:53:19.197,2016-05-12 06:41:10.450,38.19
219,6.14,2016-05-12 07:02:33.317,2016-05-12 13:11:11.473,35.12
220,5.74,2016-05-12 17:38:32.313,2016-05-12 23:22:42.140,45.06
221,13.91,2016-05-12 23:22:50.430,2016-05-13 13:17:18.880,37.06
222,5.86,2016-05-13 14:43:07.020,2016-05-13 20:34:54.340,38.15
223,16.21,2016-05-13 23:11:24.850,2016-05-14 15:24:08.457,39.75
224,10.16,2016-05-14 16:52:21.487,2016-05-15 03:01:54.513,38.55
225,6.79,2016-05-17 06:15:45.797,2016-05-17 13:03:10.130,47.78
226,6.65,2016-05-17 13:13:08.710,2016-05-17 19:52:25.620,46.68
